twitter.retweet.count,twitter.retweeted.user.name,twitter.retweeted.place.place_type,links.url,interaction.source,twitter.retweet.user.screen_name,twitter.user.description,interaction.geo.latitude,twitter.retweet.user.id_str,twitter.user.verified,klout.amplification,twitter.user.id,twitter.geo.latitude,interaction.geo.longitude,twitter.retweeted.place.country_code,twitter.retweeted.place.url,twitter.place.full_name,twitter.user.listed_count,twitter.retweet.domains,links.retweet_count,twitter.user.url,twitter.user.name,demographic.gender,twitter.place.name,salience.content.entities,twitter.retweet.user.geo_enabled,twitter.retweet.user.statuses_count,twitter.text,twitter.place.id,twitter.mentions,twitter.retweeted.place.name,twitter.user.id_str,twitter.retweet.user.lang,twitter.id,twitter.retweet.user.utc_offset,twitter.retweeted.user.listed_count,twitter.retweeted.user.utc_offset,twitter.source,klout.score,interaction.author.username,twitter.retweeted.user.id,twitter.geo.longitude,twitter.place.url,twitter.retweeted.user.followers_count,trends.type,links.created_at,twitter.retweet.user.created_at,twitter.retweeted.user.friends_count,interaction.created_at,salience.content.topics,twitter.place.country,twitter.retweet.text,twitter.links,twitter.user.statuses_count,twitter.domains,twitter.retweet.links,twitter.user.followers_count,interaction.author.link,trends.source,twitter.retweet.user.id,interaction.type,klout.true_reach,interaction.id,twitter.retweet.user.followers_count,links.title,twitter.retweet.created_at,trends.content,twitter.retweeted.created_at,twitter.user.time_zone,twitter.retweeted.place.country,twitter.place.place_type,twitter.retweeted.user.location,klout.network,twitter.user.friends_count,twitter.retweet.source,interaction.link,twitter.retweet.user.listed_count,twitter.retweet.id,twitter.retweet.user.location,twitter.retweet.user.description,twitter.retweeted.geo.latitude,twitter.retweeted.user.url,twitter.retweeted.geo.longitude,twitter.user.screen_name,interaction.author.id,twitter.retweet.user.url,twitter.user.location,twitter.in_reply_to_screen_name,twitter.retweet.user.friends_count,interaction.tags,twitter.retweeted.user.time_zone,twitter.retweeted.place.id,interaction.author.avatar,language.tag,twitter.user.created_at,twitter.retweeted.user.statuses_count,twitter.user.geo_enabled,twitter.retweet.mentions,twitter.retweeted.user.description,interaction.content,twitter.retweeted.user.screen_name,twitter.retweet.user.time_zone,language.confidence,twitter.user.lang,klout.topics,twitter.in_reply_to_status_id,twitter.in_reply_to_user_id,twitter.place.country_code,salience.content.sentiment,twitter.retweeted.user.geo_enabled,twitter.retweeted.source,twitter.retweeted.user.created_at,twitter.user.utc_offset,twitter.retweeted.user.lang,interaction.author.name,twitter.retweeted.user.verified,twitter.created_at,twitter.retweet.user.name,twitter.retweeted.place.full_name,twitter.retweeted.id,twitter.retweeted.user.id_str
"","","","","UberSocial for BlackBerry","","","","","",6,143003789,"","","","","","","","","","joost koopman","male","","","","","Tering abnr amro geeft me pas niet terug, wat een tering lijers","","","","143003789","","221786644917911552","","","","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",35,"Joostt95","","","","","","","","","Sun, 08 Jul 2012 02:03:51 +0000","","","","",4207,"","",100,"http://twitter.com/Joostt95","","","twitter",229,"1e1c8a129899ad80e07481b1657ecbc0","","","","","","","","","",11.12,91,"","http://twitter.com/Joostt95/statuses/221786644917911552","","","","","","","","Joostt95",143003789,"","","","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2258481537/522767_227491674029280_100003053474568_360518_2114395908_n_normal.jpg","nl","Wed, 12 May 2010 09:32:19 +0000","","","","","Tering abnr amro geeft me pas niet terug, wat een tering lijers","","",100,"en","","","","","","","","","","","joost koopman","","Sun, 08 Jul 2012 02:03:51 +0000","","","",""
"","","","","UberSocial for BlackBerry","","","","","",6,143003789,"","","","","","","","","","joost koopman","male","","","","","Ben echt chagerijnig nu, net een nieuwe pas nu alweer weg TERING abn amro","","","","143003789","","221787055582216192","","","","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",35,"Joostt95","","","","","","","","","Sun, 08 Jul 2012 02:05:29 +0000","","","","",4208,"","",100,"http://twitter.com/Joostt95","","","twitter",229,"1e1c8a163f33aa80e074fc61a0d5b532","","","","","","","","","",11.12,91,"","http://twitter.com/Joostt95/statuses/221787055582216192","","","","","","","","Joostt95",143003789,"","","","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2258481537/522767_227491674029280_100003053474568_360518_2114395908_n_normal.jpg","nl","Wed, 12 May 2010 09:32:19 +0000","","","","","Ben echt chagerijnig nu, net een nieuwe pas nu alweer weg TERING abn amro","","",100,"en","","","","","","","","","","","joost koopman","","Sun, 08 Jul 2012 02:05:29 +0000","","","",""
"","","","","TweetDeck","","a heavy bassline is my kind of silence","","","",4,277947574,"","","","","","","","","http://soundcloud.com/iamfission","Hidde Kleijn","mostly_male","","","","","RT @Joostt95: Ben echt chagerijnig nu, net een nieuwe pas nu alweer weg TERING abn amro","","[""Joostt95""]","","277947574","","221787887719559169","","","","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",31,"hiddekleijn","","","","","","","","","Sun, 08 Jul 2012 02:08:47 +0000","","","","",12320,"","",155,"http://twitter.com/hiddekleijn","","","twitter",199,"1e1c8a1d9f7aa180e07457072f388ebc","","","","","","Greenland","","","",8.98,119,"","http://twitter.com/hiddekleijn/statuses/221787887719559169","","","","","","","","hiddekleijn",277947574,"","'t zonnige zuiden.","","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/1833798247/405507_295817573812163_100001517690504_832810_42963297_n_normal.jpg","nl","Wed, 06 Apr 2011 09:05:30 +0000","","","","","RT @Joostt95: Ben echt chagerijnig nu, net een nieuwe pas nu alweer weg TERING abn amro","","",100,"en","","","","","","","","",-10800,"","Hidde Kleijn","","Sun, 08 Jul 2012 02:08:47 +0000","","","",""
"","","","","webcarekoppeling","","Dit is het officiële twitteraccount van ABN AMRO. \r\nWe staan 24/7 klaar om vragen te beantwoorden & problemen op te lossen maar ook voor al uw andere bankzaken.","","",true,11,2270841,"","","","","",231,"","","https://www.abnamro.nl/nl/prive/contact/social-media.html","ABN AMRO","male","","","","","@Joostt95 Hallo Joost, wanneer je géén klant bent bij ABN AMRO en je pas wordt wel bij ons ingeslikt kun je idd beste contact met je ....1/2","","[""Joostt95""]","","2270841","","221796883046219776","","","","<a href=""http://www.abnamro.nl"" rel=""nofollow"">webcarekoppeling</a>",58,"ABNAMRO","","","","","","","","","Sun, 08 Jul 2012 02:44:32 +0000","","","","",23130,"","",12716,"http://twitter.com/ABNAMRO","","","twitter",6135,"1e1c8a6d87caa800e074278febafedbc","","","","","","Amsterdam","","","",42.76,2455,"","http://twitter.com/ABNAMRO/statuses/221796883046219776","","","","","","","","ABNAMRO",2270841,"","","Joostt95","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/1931294340/schild_normal.jpg","nl","Mon, 26 Mar 2007 08:00:16 +0000","","","","","@Joostt95 Hallo Joost, wanneer je géén klant bent bij ABN AMRO en je pas wordt wel bij ons ingeslikt kun je idd beste contact met je ....1/2","","",93,"nl","[""employment"",""management"",""cars"",""money"",""netherlands""]","","143003789","","","","","",3600,"","ABN AMRO","","Sun, 08 Jul 2012 02:44:32 +0000","","","",""
"","","","","Samsung Mobile","","You only Live Once Bitch ... Essaies de ne pàas la fOutre en l'aire! #TeamBEHIVE, #TeamBrezzy, #TeamGalaxyS2 • Follow Me :-)","","","",6,365304794,"","","","","",1,"","","http://ixamxmycki.tumblr.com/","M[ιι]скγ™▲","","","","","","@Becrazyhoney abn ?! Moi je suis pas aller","","[""Becrazyhoney""]","","365304794","","221813074766729217","","","","<a href=""http://www.samsungmobile.com"" rel=""nofollow"">Samsung Mobile</a>",32,"IxAmxMycki","","","","","","","","","Sun, 08 Jul 2012 03:48:52 +0000","","","","",1604,"","",115,"http://twitter.com/IxAmxMycki","","","twitter",113,"1e1c8afd539eaa00e074034989d7cf06","","","","","","Atlantic Time (Canada)","","","",10.69,109,"","http://twitter.com/IxAmxMycki/statuses/221813074766729217","","","","","","","","IxAmxMycki",365304794,"","Abou Dabi","Becrazyhoney","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2316642779/akubyzooic4rh7jxf9lm_normal.jpeg","fr","Wed, 31 Aug 2011 06:15:13 +0000","","","","","@Becrazyhoney abn ?! Moi je suis pas aller","","",64,"fr","","","574828461","",6,"","","",-14400,"","M[ιι]скγ™▲","","Sun, 08 Jul 2012 03:48:52 +0000","","","",""
"","","","","txt","","Nathalie kei. jeune 2mwsel,c0ol,suriante,gaffeuz. aime chanT,papoT avc ls pote.0337987649","","","",3,347220304,"","","","","","","","","","Yuricka2","","","","","","?TrEmigni0n33: Ton nombre de followers ne signifie pas que tu es forcement quelqu'un de bon a suivre. Hitler en avait des milliers,&lt;abn,slu","","","","347220304","","221844450610126850","","","","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>",14,"Yuricka2","","","","","","","","","Sun, 08 Jul 2012 05:53:33 +0000","","","","",130,"","",14,"http://twitter.com/Yuricka2","","","twitter",7,"1e1c8c1403feac80e074f20647528c98","","","","","","","","","",2.65,40,"","http://twitter.com/Yuricka2/statuses/221844450610126850","","","","","","","","Yuricka2",347220304,"","Tana/madagascar","","","[""ABN AMRO""]","","","http://a0.twimg.com/sticky/default_profile_images/default_profile_4_normal.png","fr","Tue, 02 Aug 2011 13:16:24 +0000","","","","","?TrEmigni0n33: Ton nombre de followers ne signifie pas que tu es forcement quelqu'un de bon a suivre. Hitler en avait des milliers,&lt;abn,slu","","",94,"en","","","","",0,"","","","","","Yuricka2","","Sun, 08 Jul 2012 05:53:33 +0000","","","",""
"","","","[""http://links.speurmachine.nl/nieuws2.html""]","web","","#followback #volgterug #terugvolgen volg de volgers en krijg zelf meer volgers. Follow our followers and get more follwers yourself #morefollowers #meervolgers","","","",3,228014327,"","","","","",15,"","[0]","","volgt terug","","","","","","Pas op: #Phishingmail zogenaamd van #ABN-AMRO over #IBAN Deze mail is dus niet van uw bank afkomstig maar is enk..... http://t.co/yvNupb8O","","","","228014327","","221955554514452481","","","","web",21,"volgterug","","","","","","[""Sun, 08 Jul 2012 13:15:02 +0000""]","","","Sun, 08 Jul 2012 13:15:02 +0000","","","","[""http://bit.ly/NdSvPY""]",1582,"[""bit.ly""]","",3447,"http://twitter.com/volgterug","","","twitter",24,"1e1c8feecec8af00e0749629eae2c262","","[""Speurmachine.nl""]","","","","Greenland","","","",5.48,3712,"","http://twitter.com/volgterug/statuses/221955554514452481","","","","","","","","volgterug",228014327,"","","","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/1506532955/twitter_normal.jpg","nl","Sat, 18 Dec 2010 13:29:49 +0000","","","","","Pas op: #Phishingmail zogenaamd van #ABN-AMRO over #IBAN Deze mail is dus niet van uw bank afkomstig maar is enk..... http://t.co/yvNupb8O","","",100,"en","","","","","","","","",-10800,"","volgt terug","","Sun, 08 Jul 2012 13:15:02 +0000","","","",""
0,"volgt terug","","[""http://links.speurmachine.nl/nieuws2.html""]","web","vakmangezocht","","","300475662","",2,"","","","","","","","[""bit.ly""]","[0]","","","","","","",79,"","","","","","nl","221957369863737344",3600,15,-10800,"",10,"vakmangezocht",228014327,"","",3447,"","[""Sun, 08 Jul 2012 13:15:02 +0000""]","Tue, 17 May 2011 20:39:12 +0000",3712,"Sun, 08 Jul 2012 13:22:15 +0000","","","Pas op: #Phishingmail zogenaamd van #ABN-AMRO over #IBAN Deze mail is dus niet van uw bank afkomstig maar is enk..... http://t.co/yvNupb8O","","","","[""http://bit.ly/NdSvPY""]","","http://twitter.com/vakmangezocht","",300475662,"twitter",2,"1e1c8ffef031ad80e0747b60119d541e",1406,"[""Speurmachine.nl""]","Sun, 08 Jul 2012 13:22:15 +0000","","Sun, 08 Jul 2012 13:15:02 +0000","","","","",0.09000000000000001,"","web","http://twitter.com/vakmangezocht/statuses/221957369863737344",4,"221957369863737344","Nederland","• Aannemers;\r\n• Schilders;\r\n• Stukadoors;\r\n• Timmermannen;\r\n• Elektriciens;\r\n• Loodgieters;\r\n• Dakdekkers;\r\n• Hoveniers;\r\nhttp://bit.ly/AzZkZT ","","","","",300475662,"","","",1455,"[""ABN AMRO""]","Greenland","","http://a0.twimg.com/profile_images/1496443334/vakmangezocht_normal.jpg","nl","",1583,"","","#followback #volgterug #terugvolgen volg de volgers en krijg zelf meer volgers. Follow our followers and get more follwers yourself #morefollowers #meervolgers","RT @volgterug: Pas op: #Phishingmail zogenaamd van #ABN-AMRO over #IBAN Deze mail is dus niet van uw bank afkomstig maar is enk..... htt ...","volgterug","Amsterdam",100,"","","","","","","","web","Sat, 18 Dec 2010 13:29:49 +0000","","en","vakmangezocht","","","vakmangezocht","","221955554514452481","228014327"
2,"volgt terug","","[""http://links.speurmachine.nl/nieuws2.html""]","web","winkelonline","","","231555979","",3,"","","","","","","","[""bit.ly""]","[0]","","","","","","",2404,"","","","","","en","221958627433521152","",15,-10800,"",17,"winkelonline",228014327,"","",3447,"","[""Sun, 08 Jul 2012 13:15:02 +0000""]","Tue, 28 Dec 2010 21:21:32 +0000",3712,"Sun, 08 Jul 2012 13:27:15 +0000","","","Pas op: #Phishingmail zogenaamd van #ABN-AMRO over #IBAN Deze mail is dus niet van uw bank afkomstig maar is enk..... http://t.co/yvNupb8O","","","","[""http://bit.ly/NdSvPY""]","","http://twitter.com/winkelonline","",231555979,"twitter",14,"1e1c900a1d37ab80e0745b285ec8287c",1556,"[""Speurmachine.nl""]","Sun, 08 Jul 2012 13:27:15 +0000","","Sun, 08 Jul 2012 13:15:02 +0000","","","","",4.03,"","web","http://twitter.com/winkelonline/statuses/221958627433521152","","221958627433521152","Nederland","","","","","",231555979,"http://speurmachine.nl","","",1632,"[""ABN AMRO""]","Greenland","","http://a0.twimg.com/profile_images/1498773424/komkokkers_normal.jpg","nl","",1584,"","","#followback #volgterug #terugvolgen volg de volgers en krijg zelf meer volgers. Follow our followers and get more follwers yourself #morefollowers #meervolgers","RT @volgterug: Pas op: #Phishingmail zogenaamd van #ABN-AMRO over #IBAN Deze mail is dus niet van uw bank afkomstig maar is enk..... htt ...","volgterug","",100,"","","","","","","","web","Sat, 18 Dec 2010 13:29:49 +0000","","en","komkommer","","","komkommer","","221955554514452481","228014327"
3,"volgt terug","","[""http://links.speurmachine.nl/nieuws2.html""]","web","meestekorting","","","343383387","",2,"","","","","","","","[""bit.ly""]","[0]","","","male","","","",2146,"","","","","","en","221958802793177088","",15,-10800,"",15,"meestekorting",228014327,"","",3447,"","[""Sun, 08 Jul 2012 13:15:02 +0000""]","Wed, 27 Jul 2011 13:58:38 +0000",3712,"Sun, 08 Jul 2012 13:27:57 +0000","","","Pas op: #Phishingmail zogenaamd van #ABN-AMRO over #IBAN Deze mail is dus niet van uw bank afkomstig maar is enk..... http://t.co/yvNupb8O","","","","[""http://bit.ly/NdSvPY""]","","http://twitter.com/meestekorting","",343383387,"twitter",23,"1e1c900badc2ac80e074f0bfe7e2880a",1425,"[""Speurmachine.nl""]","Sun, 08 Jul 2012 13:27:57 +0000","","Sun, 08 Jul 2012 13:15:02 +0000","","","","",2.09,"","web","http://twitter.com/meestekorting/statuses/221958802793177088",3,"221958802793177088","Nederland","OPRUIMING 40-70% KORTING! Elke dag een super aanbieding voor de beste prijs! Zeven dagen per week","","","","",343383387,"","","",1509,"[""ABN AMRO""]","Greenland","","http://a0.twimg.com/profile_images/1472966221/korting_normal.jpg","nl","",1584,"","","#followback #volgterug #terugvolgen volg de volgers en krijg zelf meer volgers. Follow our followers and get more follwers yourself #morefollowers #meervolgers","RT @volgterug: Pas op: #Phishingmail zogenaamd van #ABN-AMRO over #IBAN Deze mail is dus niet van uw bank afkomstig maar is enk..... htt ...","volgterug","",100,"","","","","","","","web","Sat, 18 Dec 2010 13:29:49 +0000","","en","Dag aanbieding","","","Dag aanbieding","","221955554514452481","228014327"
3,"volgt terug","","[""http://links.speurmachine.nl/nieuws2.html""]","web","gelderland_zuid","","","233720166","",2,"","","","","","","","[""bit.ly""]","[0]","","","","","","",2179,"","","","","","en","221959209397391360","",15,-10800,"",11,"gelderland_zuid",228014327,"","",3447,"","[""Sun, 08 Jul 2012 13:15:02 +0000""]","Mon, 03 Jan 2011 23:25:58 +0000",3712,"Sun, 08 Jul 2012 13:29:33 +0000","","","Pas op: #Phishingmail zogenaamd van #ABN-AMRO over #IBAN Deze mail is dus niet van uw bank afkomstig maar is enk..... http://t.co/yvNupb8O","","","","[""http://bit.ly/NdSvPY""]","","http://twitter.com/gelderland_zuid","",233720166,"twitter",5,"1e1c900f4149ac80e074a9db8d0929c6",727,"[""Speurmachine.nl""]","Sun, 08 Jul 2012 13:29:33 +0000","","Sun, 08 Jul 2012 13:15:02 +0000","","","","",1.06,"","web","http://twitter.com/gelderland_zuid/statuses/221959209397391360",1,"221959209397391360","gelderland-Zuid","Webwinkel overzicht ","","","","",233720166,"","","",787,"[""ABN AMRO""]","Greenland","","http://a0.twimg.com/profile_images/1734637951/uitverkoop_normal.jpg","nl","",1584,"","","#followback #volgterug #terugvolgen volg de volgers en krijg zelf meer volgers. Follow our followers and get more follwers yourself #morefollowers #meervolgers","RT @volgterug: Pas op: #Phishingmail zogenaamd van #ABN-AMRO over #IBAN Deze mail is dus niet van uw bank afkomstig maar is enk..... htt ...","volgterug","",100,"","","","","","","","web","Sat, 18 Dec 2010 13:29:49 +0000","","en","Gelderland-Zuid","","","Gelderland-Zuid","","221955554514452481","228014327"
"","","","","Twitter for BlackBerry®","","♥MIRFAD♥gthtfm♥ PIN : 2A060602","","","",4,232517342,"","","","","","","","","","Dian Ayu Permatasari","unisex","","","","","Kira gua pas gua prtm gatau itu fullname lu pusat abn-_- RT @Mutiakhanzar algojali mah si al :P RT: @ayyupermatasari: Knp algojali? RT","","[""Mutiakhanzar"",""ayyupermatasari""]","","232517342","","222039968841863168","","","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",26,"ayyupermatasari","","","","","","","","","Sun, 08 Jul 2012 18:50:28 +0000","","","","",3284,"","",236,"http://twitter.com/ayyupermatasari","","","twitter",112,"1e1c92dc8f47a200e07491b1abb5107a","","","","","","Pacific Time (US & Canada)","","","",6.62,135,"","http://twitter.com/ayyupermatasari/statuses/222039968841863168","","","","","","","","ayyupermatasari",232517342,"","","Mutiakhanzar","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2377951013/IMG_20120704_200513_normal.jpg","ms","Fri, 31 Dec 2010 11:05:52 +0000","","","","","Kira gua pas gua prtm gatau itu fullname lu pusat abn-_- RT @Mutiakhanzar algojali mah si al :P RT: @ayyupermatasari: Knp algojali? RT","","",100,"en","","222039300244635648","112103528","","","","","",-28800,"","Dian Ayu Permatasari","","Sun, 08 Jul 2012 18:50:28 +0000","","","",""
"","","","","Echofon","","♥ @bimamrz • photography • JURNALISTIK • BAJAI • dance • music♪ • PEACE LOVERS","","","",8,112103528,"","","","","",2,"","","http://www.myspace.com/570406047","Mrs. AL GHAZALY ☮","mostly_male","","","","","kamseupay RT: @ayyupermatasari: Kira gua pas gua prtm gatau itu fullname lu pusat abn-_- RT @Mutiakhanzar algojali mah si al :P RT: @ayyuper","","[""ayyupermatasari"",""Mutiakhanzar""]","","112103528","","222040269598633984","","","","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",43,"Mutiakhanzar","","","","","","","","","Sun, 08 Jul 2012 18:51:40 +0000","","","","",38521,"","",1108,"http://twitter.com/Mutiakhanzar","","","twitter",920,"1e1c92df3deca600e07480b56e83db96","","","","","","Pacific Time (US & Canada)","","","",21.38,158,"","http://twitter.com/Mutiakhanzar/statuses/222040269598633984","","","","","","","","Mutiakhanzar",112103528,"","ÜT: -6.927855,107.662596","","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2379513276/oqb6zxj4czat5dtu9yfi_normal.jpeg","ms","Sun, 07 Feb 2010 08:34:38 +0000","",true,"","","kamseupay RT: @ayyupermatasari: Kira gua pas gua prtm gatau itu fullname lu pusat abn-_- RT @Mutiakhanzar algojali mah si al :P RT: @ayyuper","","",100,"en","[""google images"",""sms"",""cuma"",""iphone photography"",""iphone""]","","","","","","","",-28800,"","Mrs. AL GHAZALY ☮","","Sun, 08 Jul 2012 18:51:40 +0000","","","",""
"","","","","Twitter for iPhone","","","","","",0,362087250,"","","","","","","","","","Michel Bouvier","male","","","","","@ABNAMRO Ik kan niet meer pinnen, zowel bij een pinautomaat bp of bank. Zo ook andere ABN klanten. Storing???","","[""ABNAMRO""]","","362087250","","222096483174989826","","","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,"Bouvier88","","","","","","","","","Sun, 08 Jul 2012 22:35:02 +0000","[{""name"":""Banking"",""score"":0.78002351522446,""hits"":0}]","","","",12,"","",2,"http://twitter.com/Bouvier88","","","twitter",0,"1e1c94d2815aaf00e07459002c1b4818","","","","","","","","","",0.0,51,"","http://twitter.com/Bouvier88/statuses/222096483174989826","","","","","","","","Bouvier88",362087250,"","","ABNAMRO","","[""ABN AMRO""]","","","http://a0.twimg.com/sticky/default_profile_images/default_profile_0_normal.png","","Thu, 25 Aug 2011 20:44:48 +0000","","","","","@ABNAMRO Ik kan niet meer pinnen, zowel bij een pinautomaat bp of bank. Zo ook andere ABN klanten. Storing???","","","","nl","","","2270841","",0,"","","","","","Michel Bouvier","","Sun, 08 Jul 2012 22:35:02 +0000","","","",""
"","","","","Echofon","","Vrijetijdsmanagement student!   The sky is the limit -- enjoying life to the fullest ..  Pixius.nl ","","","",22,85546332,"","","","","","","","","","Stephanie McGuire","female","","","","","Ongelofelijk iedereen met ABN kan niet meer pinnen en @abnamro laat niks weten over de storing alleen dat ze hard werken eraan!Onacceptabel","","[""ABNAMRO""]","","85546332","","222118936089591808","","","","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",45,"S_McGuire","","","","","","","","","Mon, 09 Jul 2012 00:04:15 +0000","","","","",7092,"","",1500,"http://twitter.com/S_McGuire","","","twitter",888,"1e1c9599eb8aa980e0742b47255b8808","","","","","","Greenland","","","",25.29,94,"","http://twitter.com/S_McGuire/statuses/222118936089591808","","","","","","","","S_McGuire",85546332,"","ÜT: 51.48545,5.393255","","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2261788238/S_McGuire_normal.jpg","","Tue, 27 Oct 2009 11:01:22 +0000","","","","","Ongelofelijk iedereen met ABN kan niet meer pinnen en @abnamro laat niks weten over de storing alleen dat ze hard werken eraan!Onacceptabel","","","","en","[""amsterdam"",""barbecue""]","","","",0,"","","",-10800,"","Stephanie McGuire","","Mon, 09 Jul 2012 00:04:15 +0000","","","",""
"","","","","web","","","","","",3,509548583,"","","","","","","","","","Je T'aimee Troop ♥","unisex","","","","","@BkyKinshasa Abn Fau pas tenuier psk si tu tenui moi et ma mere aussi !!","","[""BkyKinshasa""]","","509548583","","222122292703002624","","","","web",21,"NelShaaaa","","","","","","","","","Mon, 09 Jul 2012 00:17:36 +0000","","","","",289,"","",64,"http://twitter.com/NelShaaaa","","","twitter",51,"1e1c95b7c279a000e07468c2c509b54c","","","","","","Athens","","","",4.4,153,"","http://twitter.com/NelShaaaa/statuses/222122292703002624","","","","","","","","NelShaaaa",509548583,"","","BkyKinshasa","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2215150873/536669_443608885652752_100000109326711_1730276_216770773_n_normal.jpg","fr","Thu, 01 Mar 2012 01:30:19 +0000","","","","","@BkyKinshasa Abn Fau pas tenuier psk si tu tenui moi et ma mere aussi !!","","",100,"fr","","222121925625909248","463068343","",-7,"","","",7200,"","Je T'aimee Troop ♥","","Mon, 09 Jul 2012 00:17:36 +0000","","","",""
"","","","","web","","Official Twitter Page of KarenCheenfild ™\r\n#TEAMGrosMangeur  #TeamLaFouine #FollowBack",48.7736268,"","",3,410392955,48.7736268,1.9967388,"","","Trappes, Yvelines","","","","http://www.VNTM.com","ℱєmɑlєℱσuny Bɑby ♥♥♥","","Trappes","[{""name"":""\\""toi t la tu cst pas , tu tatent a un truc de drôle\\"""",""sentiment"":-7,""confident"":1,""label"":""Quote"",""evidence"":1,""type"":""Quote"",""about"":0,""themes"":[""blague du papier"",""truc de drôle""]}]","","","Tu connais la blague du papier ? :) ""toi t la tu cst pas , tu tatent a un truc de drôle"" Elle déchire . EUH *__* abn ?","f3ce4d3e9058ca17","","","410392955","","222149344235765760","","","","web",25,"KareenCheenfild","",1.9967388,"http://api.twitter.com/1/geo/id/f3ce4d3e9058ca17.json","","","","","","Mon, 09 Jul 2012 02:05:05 +0000","","France","","",3118,"","",176,"http://twitter.com/KareenCheenfild","","","twitter",107,"1e1c96a800edae80e074b59f94c7321a","","","","","","Athens","","city","",6.16,151,"","http://twitter.com/KareenCheenfild/statuses/222149344235765760","","","","","","","","KareenCheenfild",410392955,"","San francisco ♥♥","","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2355424334/8jg3fskt54rliu1x31hx_normal.jpeg","fr","Sat, 12 Nov 2011 01:37:16 +0000","",true,"","","Tu connais la blague du papier ? :) ""toi t la tu cst pas , tu tatent a un truc de drôle"" Elle déchire . EUH *__* abn ?","","",62,"fr","","","","FR",-4,"","","",7200,"","ℱєmɑlєℱσuny Bɑby ♥♥♥","","Mon, 09 Jul 2012 02:05:05 +0000","","","",""
"","","","","Twitter for Android","","◘◘◘◘Follow me People #OuPas !!!!!!!!!!◘◘◘◘ #TeamPSG #TeanChicagoBulls #TeamVWPolo #TeamAndroid ... kik: radik97one","","","",7,323574829,"","","","","",1,"","","","♠RéGiis El'Neg♠ ツ","","","[{""name"":""\\""@SweetasKandy: Confession: je suis nul au lit. =/\\"""",""sentiment"":4,""confident"":1,""label"":""Quote"",""evidence"":1,""type"":""Quote"",""about"":0}]","","","""@SweetasKandy: Confession: je suis nul au lit. =/"" abn?? Pk?? Tu fais des cauchemar ?? Tarrive pas a dodo ??","","[""SweetasKandy""]","","323574829","","222175182779990016","","","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",41,"rAdiikaaL97one","","","","","","","","","Mon, 09 Jul 2012 03:47:46 +0000","","","","",14710,"","",170,"http://twitter.com/rAdiikaaL97one","","","twitter",588,"1e1c978d84cdad00e0746b3c8f70ba54","","","","","","Atlantic Time (Canada)","","","",18.65,227,"","http://twitter.com/rAdiikaaL97one/statuses/222175182779990016","","","","","","","","rAdiikaaL97one",323574829,"","brésil ","","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2324510283/pzhog4hf3bx29wm0e7fi_normal.jpeg","fr","Sat, 25 Jun 2011 02:05:39 +0000","",true,"","","""@SweetasKandy: Confession: je suis nul au lit. =/"" abn?? Pk?? Tu fais des cauchemar ?? Tarrive pas a dodo ??","","",100,"en","[""music"",""scrubs"",""new york jets""]","","","",4,"","","",-14400,"","♠RéGiis El'Neg♠ ツ","","Mon, 09 Jul 2012 03:47:46 +0000","","","",""
